datalen,pixelscale,labellen,want_width_px
20,0.375,2,12
20,0.40625,20,12
40,0.3375,2,12
40,0.35,22,12
3,1.16015625,2,30
3,1.8375,22,30
4,1.0609375,2,30
4,1.575,22,30
5,0.9833984375,2,30
5,1.3953125,22,30
6,0.94453125,2,30
6,1.29375,22,30
7,0.888671875,2,30
7,1.1953125,22,30
8,0.90390625,2,30
8,1.134375,22,30
9,0.88359375,2,30
9,1.075,22,30
10,0.830078125,2,30
10,1.05,22,30
11,0.84296875,2,30
11,1.2171875,22,30
12,0.82265625,2,30
12,1.171875,22,30
13,0.833203125,2,30
13,1.1578125,22,30
14,0.8421875,2,30
14,1.128125,22,30
15,0.8203125,2,30
15,1.06953125,22,30
